Sample,OD600,Time_s
P21.F9_MC,0.5973,27969.65
P21.F9_MC,0.6117,28902.088
P21.F9_MC,0.6335,29834.682
P21.F9_MC,0.645,30767.242
P21.F9_MC,0.6519,31699.776
P21.F9_MC,0.6666,32632.176
P21.F9_MC,0.6736,33564.472
P21.F9_MC,0.6795,34496.941
P21.F9_MC,0.6818,35429.418
P21.F9_MC,0.6861,36361.963
P21.F9_MC,0.6871,37294.415
P21.F9_MC,0.6842,38226.892
P21.F9_MC,0.6866,39159.364
P21.F9_MC,0.6918,40091.808
P21.F9_MC,0.6867,41024.249
P21.F9_MC,0.6843,41956.683
P21.F9_MC,0.6898,42889.133
P21.F9_MC,0.688,43821.583
P21.F9_MC,0.683,44754.073
P21.F9_MC,0.6833,45686.536
P21.F9_MC,0.6776,46618.992
P21.F9_MC,0.6791,47551.547
P21.F9_MC,0.6779,48483.921
P21.F9_MC,0.6774,49416.364
P21.F9_MC,0.6772,50348.834
P21.F9_MC,0.6784,51281.358
P21.F9_MC,0.688,52213.762
P21.F9_MC,0.6801,53146.312
P21.F9_MC,0.6707,54078.693
P21.F9_MC,0.6638,55011.144
P21.F9_MC,0.6536,55943.634
P21.F9_MC,0.6455,56876.186
P21.F9_MC,0.6497,57808.624
P21.F9_MC,0.644,58741.026
P21.F9_MC,0.6442,59673.323
P21.F9_MC,0.642,60605.752
P21.F9_MC,0.6399,61538.212
P21.F9_MC,0.6417,62470.619
P21.F9_MC,0.6474,63403.101
P21.F9_MC,0.6493,64335.647
P21.F9_MC,0.651,65268.122
P21.F9_MC,0.6457,66200.595
P21.F9_MC,0.651,67133.085
P21.F9_MC,0.6219,68065.552
P21.F9_MC,0.6256,68998.018
P21.F9_MC,0.6287,69930.555
P21.F9_MC,0.6492,70863.021
P21.F9_MC,0.6262,71795.421
P21.F9_MC,0.6298,72727.925
P21.F9_MC,0.6153,73660.508
P13.D10_noMC,0.1181,0
P13.D10_noMC,0.1116,927.268
P13.D10_noMC,0.1087,1859.687
P13.D10_noMC,0.1116,2792.16
P13.D10_noMC,0.1151,3724.632
P13.D10_noMC,0.1196,4657.102
P13.D10_noMC,0.1244,5589.631
P13.D10_noMC,0.1352,6522.193
P13.D10_noMC,0.1554,7454.487
P13.D10_noMC,0.1776,8386.937
P13.D10_noMC,0.2007,9319.439
P13.D10_noMC,0.226,10251.889
P13.D10_noMC,0.247,11184.439
P13.D10_noMC,0.287,12116.883
P13.D10_noMC,0.2932,13049.281
P13.D10_noMC,0.3023,13981.655
P13.D10_noMC,0.3178,14914.142
P13.D10_noMC,0.3332,15846.702
P13.D10_noMC,0.3476,16779.28
P13.D10_noMC,0.369,17711.855
P13.D10_noMC,0.4128,18644.329
P13.D10_noMC,0.4295,19576.844
P13.D10_noMC,0.4573,20509.373
P13.D10_noMC,0.4945,21441.922
P13.D10_noMC,0.48,22374.504
P13.D10_noMC,0.525,23307.015
P13.D10_noMC,0.5267,24239.47
P13.D10_noMC,0.5774,25171.902
P13.D10_noMC,0.5505,26104.468
P13.D10_noMC,0.5792,27037.057
P13.D10_noMC,0.5749,27969.65
P13.D10_noMC,0.5839,28902.088
P13.D10_noMC,0.6056,29834.682
P13.D10_noMC,0.5977,30767.242
P13.D10_noMC,0.5876,31699.776
P13.D10_noMC,0.5955,32632.176
P13.D10_noMC,0.604,33564.472
P13.D10_noMC,0.5952,34496.941
P13.D10_noMC,0.6051,35429.418
P13.D10_noMC,0.6055,36361.963
P13.D10_noMC,0.6236,37294.415
P13.D10_noMC,0.625,38226.892
P13.D10_noMC,0.6501,39159.364
P13.D10_noMC,0.623,40091.808
P13.D10_noMC,0.6264,41024.249
P13.D10_noMC,0.6269,41956.683
P13.D10_noMC,0.6433,42889.133
P13.D10_noMC,0.703,43821.583
P13.D10_noMC,0.6865,44754.073
P13.D10_noMC,0.6937,45686.536
P13.D10_noMC,0.6934,46618.992
P13.D10_noMC,0.6938,47551.547
P13.D10_noMC,0.6785,48483.921
P13.D10_noMC,0.6841,49416.364
P13.D10_noMC,0.6821,50348.834
P13.D10_noMC,0.6667,51281.358
P13.D10_noMC,0.671,52213.762
P13.D10_noMC,0.6669,53146.312
P13.D10_noMC,0.6686,54078.693
P13.D10_noMC,0.6711,55011.144
P13.D10_noMC,0.6829,55943.634
P13.D10_noMC,0.6759,56876.186
P13.D10_noMC,0.6833,57808.624
P13.D10_noMC,0.6835,58741.026
P13.D10_noMC,0.6911,59673.323
P13.D10_noMC,0.6837,60605.752
P13.D10_noMC,0.6978,61538.212
P13.D10_noMC,0.6841,62470.619
P13.D10_noMC,0.6842,63403.101
P13.D10_noMC,0.6861,64335.647
P13.D10_noMC,0.6846,65268.122
P13.D10_noMC,0.6837,66200.595
P13.D10_noMC,0.6851,67133.085
P13.D10_noMC,0.6853,68065.552
P13.D10_noMC,0.789,68998.018
P13.D10_noMC,0.7921,69930.555
P13.D10_noMC,0.6892,70863.021
P13.D10_noMC,0.6864,71795.421
P13.D10_noMC,0.6882,72727.925
P13.D10_noMC,0.7568,73660.508
P13.D10_noMC,0.141,0
P13.D10_noMC,0.1372,927.268
P13.D10_noMC,0.1144,1859.687
P13.D10_noMC,0.1115,2792.16
P13.D10_noMC,0.1128,3724.632
P13.D10_noMC,0.1148,4657.102
P13.D10_noMC,0.1186,5589.631
P13.D10_noMC,0.1277,6522.193
P13.D10_noMC,0.144,7454.487
P13.D10_noMC,0.1647,8386.937
P13.D10_noMC,0.1915,9319.439
P13.D10_noMC,0.2206,10251.889
P13.D10_noMC,0.2516,11184.439
P13.D10_noMC,0.2732,12116.883
P13.D10_noMC,0.2941,13049.281
P13.D10_noMC,0.2999,13981.655
P13.D10_noMC,0.3143,14914.142
P13.D10_noMC,0.3312,15846.702
P13.D10_noMC,0.3475,16779.28
P13.D10_noMC,0.3654,17711.855
P13.D10_noMC,0.3746,18644.329
P13.D10_noMC,0.3932,19576.844
P13.D10_noMC,0.4038,20509.373
P13.D10_noMC,0.423,21441.922
P13.D10_noMC,0.4314,22374.504
P13.D10_noMC,0.4548,23307.015
P13.D10_noMC,0.4577,24239.47
P13.D10_noMC,0.485,25171.902
P13.D10_noMC,0.4883,26104.468
P13.D10_noMC,0.5109,27037.057
P13.D10_noMC,0.516,27969.65
P13.D10_noMC,0.5283,28902.088
P13.D10_noMC,0.5439,29834.682
P13.D10_noMC,0.5596,30767.242
P13.D10_noMC,0.5808,31699.776
P13.D10_noMC,0.6045,32632.176
P13.D10_noMC,0.6081,33564.472
P13.D10_noMC,0.6142,34496.941
P13.D10_noMC,0.6151,35429.418
P13.D10_noMC,0.6265,36361.963
P13.D10_noMC,0.6341,37294.415
P13.D10_noMC,0.6098,38226.892
P13.D10_noMC,0.6161,39159.364
P13.D10_noMC,0.6237,40091.808
P13.D10_noMC,0.6336,41024.249
P13.D10_noMC,0.6438,41956.683
P13.D10_noMC,0.6508,42889.133
P13.D10_noMC,0.6502,43821.583
P13.D10_noMC,0.6511,44754.073
P13.D10_noMC,0.6522,45686.536
P13.D10_noMC,0.6544,46618.992
P13.D10_noMC,0.6517,47551.547
P13.D10_noMC,0.6637,48483.921
P13.D10_noMC,0.6702,49416.364
P13.D10_noMC,0.6633,50348.834
P13.D10_noMC,0.6511,51281.358
P13.D10_noMC,0.6576,52213.762
P13.D10_noMC,0.6523,53146.312
P13.D10_noMC,0.6689,54078.693
P13.D10_noMC,0.6538,55011.144
P13.D10_noMC,0.6625,55943.634
P13.D10_noMC,0.66,56876.186
P13.D10_noMC,0.6663,57808.624
P13.D10_noMC,0.6603,58741.026
P13.D10_noMC,0.657,59673.323
P13.D10_noMC,0.6518,60605.752
P13.D10_noMC,0.6592,61538.212
P13.D10_noMC,0.6562,62470.619
P13.D10_noMC,0.6547,63403.101
P13.D10_noMC,0.6609,64335.647
P13.D10_noMC,0.7006,65268.122
P13.D10_noMC,0.6731,66200.595
P13.D10_noMC,0.6593,67133.085
P13.D10_noMC,0.6555,68065.552
P13.D10_noMC,0.659,68998.018
P13.D10_noMC,0.6973,69930.555
P13.D10_noMC,0.678,70863.021
P13.D10_noMC,0.7318,71795.421
P13.D10_noMC,0.6696,72727.925
P13.D10_noMC,0.6798,73660.508
P13.D10_noMC,0.1321,0
P13.D10_noMC,0.1246,927.268
P13.D10_noMC,0.1164,1859.687
P13.D10_noMC,0.1171,2792.16
P13.D10_noMC,0.1201,3724.632
P13.D10_noMC,0.1229,4657.102
P13.D10_noMC,0.1285,5589.631
P13.D10_noMC,0.1378,6522.193
P13.D10_noMC,0.1578,7454.487
P13.D10_noMC,0.1799,8386.937
P13.D10_noMC,0.2026,9319.439
P13.D10_noMC,0.2282,10251.889
P13.D10_noMC,0.2676,11184.439
P13.D10_noMC,0.2924,12116.883
P13.D10_noMC,0.312,13049.281
P13.D10_noMC,0.334,13981.655
P13.D10_noMC,0.3338,14914.142
P13.D10_noMC,0.3634,15846.702
P13.D10_noMC,0.3919,16779.28
P13.D10_noMC,0.4043,17711.855
P13.D10_noMC,0.4272,18644.329
P13.D10_noMC,0.4561,19576.844
P13.D10_noMC,0.466,20509.373
P13.D10_noMC,0.4907,21441.922
P13.D10_noMC,0.5033,22374.504
P13.D10_noMC,0.522,23307.015
P13.D10_noMC,0.5337,24239.47
P13.D10_noMC,0.5478,25171.902
P13.D10_noMC,0.5602,26104.468
P13.D10_noMC,0.5725,27037.057
P13.D10_noMC,0.589,27969.65
P13.D10_noMC,0.6064,28902.088
P13.D10_noMC,0.6098,29834.682
P13.D10_noMC,0.6252,30767.242
