"","genome_ID","total_n","total_seq_bp","avg_seq_bp","median_seq_bp","N50_bp","min_seq_bp","max_seq_bp"
"292","plate1.F1.pilon.contigs_renamed.fasta",183,6296139,34405.13,380,202625,128,473287
"293","plate1.F2.pilon.contigs_renamed.fasta",122,6267803,51375.43,1046,202625,128,444125
"294","plate1.F3.pilon.contigs_renamed.fasta",67,5977917,89222.64,395,542743,128,1253282
"295","plate1.F4.pilon.contigs_renamed.fasta",55,5967809,108505.62,63113,234686,128,592449
"296","plate1.F5.pilon.contigs_renamed.fasta",56,5984610,106868.04,22608,286698,128,666801
"297","plate1.F7.pilon.contigs_renamed.fasta",42,6052908,144116.86,81280,323269,128,628745
"298","plate1.F8.pilon.contigs_renamed.fasta",47,6055930,128849.57,36215,486424,128,814425
"299","plate1.F9.pilon.contigs_renamed.fasta",62,5961393,96151.5,63740,203013,128,497298
"300","plate1.G11.pilon.contigs_renamed.fasta",64,5981637,93463.08,396,726359,128,1451350
"301","plate1.G12.pilon.contigs_renamed.fasta",610,5894817,9663.63,343,477264,128,787150
"302","plate1.G1.pilon.contigs_renamed.fasta",68,5982402,87976.5,385.5,650965,128,1115964
"303","plate1.G2.pilon.contigs_renamed.fasta",210,6017445,28654.5,370.5,274200,128,546010
"304","plate1.G3.pilon.contigs_renamed.fasta",33,6079592,184230.06,342,740121,128,1248153
"305","plate1.G4.pilon.contigs_renamed.fasta",59,6115731,103656.46,720,502403,128,786884
"306","plate1.G5.pilon.contigs_renamed.fasta",55,5978000,108690.91,443,1029892,128,1361666
"307","plate1.G6.pilon.contigs_renamed.fasta",46,5944892,129236.78,63706,274803,128,683707
"308","plate1.G7.pilon.contigs_renamed.fasta",44,5944627,135105.16,2496.5,359939,128,729336
"309","plate1.G8.pilon.contigs_renamed.fasta",25,6079053,243162.12,325,1437207,128,2037641
"310","plate1.G9.pilon.contigs_renamed.fasta",25,6077678,243107.12,557,740121,128,1188880
"311","plate1.H11.pilon.contigs_renamed.fasta",54,5949737,110180.31,371,639929,128,1104979
"312","plate1.H12.pilon.contigs_renamed.fasta",60,5952083,99201.38,296.5,729625,128,2424989
"313","plate1.H1.pilon.contigs_renamed.fasta",76,5983167,78725.88,378.5,592449,128,1253282
